pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
77,1038,cuatro_quesos_l,5,2023-02-27,15:43,12.83,64.15,L,Especial,"queso, pepperoni, tomate, pimiento",Cuatro_quesos
78,1039,mexicana_s,5,2023-01-08,14:12,10.95,54.75,S,Especial,"aceituna, queso, pepperoni, jamon, champiñon",Mexicana
79,1039,napolitana_xl,1,2023-02-23,18:02,7.21,7.21,XL,Premium,"champiñon, tomate, queso, pepperoni",Napolitana
80,1040,carbonara_l,1,2023-01-07,22:25,11.63,11.63,L,Especial,"tomate, champiñon, pepperoni, pimiento, aceituna",Carbonara
81,1040,napolitana_xl,4,2023-01-24,10:01,8.19,32.76,XL,Vegetariana,"tomate, pepperoni",Napolitana
82,1041,hawaiiana_l,4,2023-01-26,17:56,12.35,49.4,L,Premium,"pimiento, aceituna, tomate, queso",Hawaiiana
83,1041,cuatro_quesos_m,4,2023-01-22,20:04,7.01,28.04,M,Clásica,"pimiento, queso",Cuatro_quesos
84,1042,cuatro_quesos_m,3,2023-02-08,11:16,6.33,18.99,M,Premium,"tomate, pimiento, jamon",Cuatro_quesos
85,1042,hawaiiana_m,3,2023-02-28,18:54,7.64,22.92,M,Premium,"pepperoni, jamon, queso, tomate",Hawaiiana
86,1043,hawaiiana_xl,2,2023-02-26,11:00,12.63,25.26,XL,Especial,"pepperoni, queso, champiñon",Hawaiiana
87,1043,hawaiiana_m,2,2023-01-11,17:40,14.0,28.0,M,Vegetariana,"champiñon, pepperoni, jamon",Hawaiiana
88,1044,cuatro_quesos_xl,4,2023-02-07,19:30,11.34,45.36,XL,Premium,"queso, tomate, aceituna, pepperoni, pimiento",Cuatro_quesos
89,1044,mexicana_xl,2,2023-03-02,11:38,11.07,22.14,XL,Vegetariana,"champiñon, pepperoni, aceituna, pimiento",Mexicana
90,1045,mexicana_m,5,2023-01-05,14:06,5.43,27.15,M,Premium,"pepperoni, champiñon",Mexicana
91,1045,hawaiiana_s,5,2023-01-17,22:19,9.19,45.95,S,Especial,"tomate, queso, jamon",Hawaiiana
92,1046,carbonara_m,2,2023-01-23,16:07,9.44,18.88,M,Especial,"tomate, pepperoni, champiñon, aceituna",Carbonara
93,1046,napolitana_s,5,2023-01-18,12:31,13.0,65.0,S,Especial,"champiñon, pimiento, tomate, pepperoni",Napolitana
94,1047,mexicana_xl,2,2023-02-19,15:40,10.76,21.52,XL,Premium,"aceituna, queso",Mexicana
95,1047,mexicana_xl,4,2023-01-17,20:28,5.56,22.24,XL,Vegetariana,"champiñon, jamon, pepperoni, pimiento, aceituna",Mexicana
96,1048,margarita_l,3,2023-01-15,18:26,10.63,31.89,L,Especial,"tomate, jamon, pimiento, pepperoni",Margarita
97,1048,carbonara_xl,5,2023-02-05,17:08,5.74,28.7,XL,Clásica,"queso, jamon, tomate",Carbonara
98,1049,carbonara_xl,4,2023-01-18,12:58,7.01,28.04,XL,Vegetariana,"queso, pimiento, tomate",Carbonara
99,1049,carbonara_xl,4,2023-01-05,22:54,9.52,38.08,XL,Clásica,"aceituna, pimiento, champiñon",Carbonara
100,1050,carbonara_s,5,2023-02-13,20:05,12.74,63.7,S,Clásica,"tomate, aceituna, queso, pimiento, champiñon",Carbonara
101,1050,carbonara_l,5,2023-01-16,22:27,7.4,37.0,L,Especial,"aceituna, jamon, tomate, queso, pimiento",Carbonara
102,1051,mexicana_l,1,2023-01-22,14:00,13.73,13.73,L,Especial,"jamon, aceituna, champiñon",Mexicana
103,1051,margarita_l,4,2023-02-03,22:05,13.28,53.12,L,Vegetariana,"champiñon, aceituna, tomate, pepperoni",Margarita
104,1052,cuatro_quesos_m,1,2023-01-08,10:23,14.68,14.68,M,Vegetariana,"champiñon, jamon",Cuatro_quesos
105,1052,napolitana_m,1,2023-01-19,20:48,10.73,10.73,M,Clásica,"queso, pimiento, aceituna, tomate",Napolitana
106,1053,napolitana_l,5,2023-02-04,18:04,5.8,29.0,L,Vegetariana,"pepperoni, pimiento, tomate, queso",Napolitana
107,1053,cuatro_quesos_s,5,2023-02-15,18:42,10.23,51.15,S,Premium,"jamon, tomate, queso, champiñon",Cuatro_quesos
108,1054,mexicana_m,1,2023-01-15,15:39,12.86,12.86,M,Especial,"jamon, aceituna, queso",Mexicana
109,1054,hawaiiana_s,4,2023-02-26,18:11,7.33,29.32,S,Premium,"champiñon, queso, pimiento",Hawaiiana
110,1055,cuatro_quesos_s,1,2023-01-12,11:36,9.23,9.23,S,Clásica,"pimiento, jamon, queso",Cuatro_quesos
111,1055,hawaiiana_xl,1,2023-02-14,18:30,6.2,6.2,XL,Especial,"pepperoni, champiñon, jamon",Hawaiiana
112,1056,mexicana_xl,1,2023-01-25,12:12,9.07,9.07,XL,Premium,"tomate, jamon, champiñon",Mexicana
113,1056,napolitana_xl,3,2023-01-12,14:22,6.43,19.29,XL,Clásica,"pimiento, queso, champiñon, pepperoni",Napolitana
114,1057,margarita_m,4,2023-02-16,15:42,5.07,20.28,M,Especial,"pimiento, aceituna",Margarita
115,1057,mexicana_s,3,2023-02-11,13:19,14.04,42.12,S,Especial,"pepperoni, pimiento",Mexicana
116,1058,hawaiiana_s,3,2023-01-09,14:48,9.52,28.56,S,Vegetariana,"tomate, aceituna, queso, pimiento",Hawaiiana
117,1058,hawaiiana_m,5,2023-01-12,16:47,9.09,45.45,M,Especial,"jamon, pimiento, champiñon, queso",Hawaiiana
118,1059,napolitana_s,5,2023-02-06,10:38,12.19,60.95,S,Vegetariana,"jamon, aceituna, queso, champiñon, pepperoni",Napolitana
119,1059,mexicana_m,3,2023-01-04,16:22,6.84,20.52,M,Vegetariana,"aceituna, tomate, champiñon, jamon",Mexicana
120,1060,napolitana_s,5,2023-01-09,12:27,10.13,50.65,S,Clásica,"jamon, tomate, pepperoni",Napolitana
121,1060,margarita_s,4,2023-02-20,10:39,5.67,22.68,S,Clásica,"tomate, pepperoni, pimiento, queso",Margarita
122,1061,margarita_xl,1,2023-01-17,18:09,14.38,14.38,XL,Clásica,"pepperoni, pimiento, aceituna, tomate",Margarita
123,1061,margarita_l,4,2023-01-21,19:15,8.68,34.72,L,Especial,"jamon, aceituna, pepperoni, pimiento, tomate",Margarita
124,1062,mexicana_s,3,2023-01-26,11:53,9.65,28.95,S,Especial,"pimiento, queso, jamon, champiñon, aceituna",Mexicana
125,1062,carbonara_xl,1,2023-02-24,14:25,7.68,7.68,XL,Especial,"tomate, queso",Carbonara
126,1063,margarita_xl,1,2023-02-03,18:19,7.04,7.04,XL,Especial,"pimiento, jamon, aceituna, tomate, champiñon",Margarita
127,1063,cuatro_quesos_s,1,2023-02-18,13:15,13.12,13.12,S,Vegetariana,"jamon, queso, aceituna",Cuatro_quesos
128,1064,margarita_l,3,2023-02-17,16:07,6.38,19.14,L,Vegetariana,"champiñon, pepperoni, queso",Margarita
129,1064,carbonara_m,4,2023-02-18,19:55,11.51,46.04,M,Vegetariana,"jamon, champiñon, aceituna, tomate",Carbonara
130,1065,margarita_l,3,2023-02-27,19:43,14.12,42.36,L,Especial,"tomate, queso, pimiento",Margarita
131,1065,cuatro_quesos_l,1,2023-01-14,15:29,14.66,14.66,L,Premium,"pepperoni, pimiento",Cuatro_quesos
132,1066,carbonara_s,4,2023-01-22,14:23,14.07,56.28,S,Vegetariana,"jamon, pepperoni, aceituna, pimiento",Carbonara
133,1066,margarita_l,4,2023-01-24,22:24,13.81,55.24,L,Especial,"pimiento, champiñon, jamon, tomate",Margarita
134,1067,hawaiiana_l,1,2023-02-08,22:42,14.98,14.98,L,Vegetariana,"jamon, pimiento",Hawaiiana
135,1067,cuatro_quesos_xl,2,2023-02-20,10:35,6.83,13.66,XL,Especial,"queso, champiñon, jamon",Cuatro_quesos
136,1068,carbonara_m,1,2023-02-12,19:55,7.77,7.77,M,Vegetariana,"tomate, aceituna, pepperoni",Carbonara
137,1068,carbonara_l,5,2023-02-25,20:47,10.42,52.1,L,Especial,"pepperoni, aceituna, jamon, champiñon, tomate",Carbonara
138,1069,napolitana_s,3,2023-01-12,18:49,13.28,39.84,S,Premium,"pimiento, champiñon, queso",Napolitana
139,1069,cuatro_quesos_s,5,2023-02-04,15:38,8.66,43.3,S,Clásica,"pepperoni, jamon, tomate, pimiento",Cuatro_quesos
140,1070,margarita_m,2,2023-02-12,19:05,13.77,27.54,M,Especial,"pepperoni, pimiento, champiñon",Margarita
141,1070,margarita_m,2,2023-02-23,19:59,8.63,17.26,M,Especial,"queso, jamon, aceituna, tomate, pepperoni",Margarita
142,1071,margarita_l,3,2023-01-23,20:17,10.39,31.17,L,Clásica,"pimiento, aceituna, pepperoni, tomate, jamon",Margarita
143,1071,hawaiiana_m,5,2023-02-27,22:30,11.35,56.75,M,Clásica,"pimiento, tomate, pepperoni, aceituna, queso",Hawaiiana
144,1072,hawaiiana_xl,3,2023-02-12,14:56,9.92,29.76,XL,Vegetariana,"pimiento, champiñon, queso, jamon, aceituna",Hawaiiana
145,1072,cuatro_quesos_xl,4,2023-01-11,21:15,5.09,20.36,XL,Especial,"jamon, pimiento, queso, champiñon",Cuatro_quesos
146,1073,mexicana_xl,5,2023-02-24,14:54,6.49,32.45,XL,Clásica,"aceituna, champiñon, tomate, pepperoni",Mexicana
147,1073,mexicana_l,2,2023-01-13,16:48,8.78,17.56,L,Premium,"jamon, pepperoni, pimiento",Mexicana
148,1074,hawaiiana_l,2,2023-01-02,18:01,12.39,24.78,L,Vegetariana,"queso, pepperoni, jamon, tomate, aceituna",Hawaiiana
149,1074,napolitana_s,4,2023-02-23,20:40,13.09,52.36,S,Vegetariana,"champiñon, tomate",Napolitana
150,1075,cuatro_quesos_xl,3,2023-02-22,22:06,7.14,21.42,XL,Premium,"champiñon, tomate, jamon",Cuatro_quesos
151,1075,carbonara_xl,2,2023-01-24,17:24,8.46,16.92,XL,Vegetariana,"champiñon, jamon",Carbonara
152,1076,margarita_l,4,2023-02-02,22:29,9.28,37.12,L,Vegetariana,"queso, aceituna, jamon, champiñon, tomate",Margarita
153,1076,hawaiiana_l,4,2023-01-21,16:13,13.03,52.12,L,Vegetariana,"jamon, champiñon, pimiento, pepperoni",Hawaiiana
154,1077,carbonara_l,2,2023-01-26,11:13,8.28,16.56,L,Especial,"tomate, queso",Carbonara
155,1077,hawaiiana_m,1,2023-01-13,12:31,10.0,10.0,M,Especial,"champiñon, pimiento, queso, jamon, pepperoni",Hawaiiana
156,1078,mexicana_m,4,2023-01-23,15:53,5.22,20.88,M,Vegetariana,"jamon, champiñon, pimiento, pepperoni",Mexicana
157,1078,hawaiiana_s,3,2023-02-13,16:37,5.75,17.25,S,Especial,"champiñon, aceituna, jamon, queso",Hawaiiana
158,1079,hawaiiana_xl,4,2023-02-07,12:17,10.02,40.08,XL,Clásica,"pepperoni, aceituna",Hawaiiana
159,1079,carbonara_l,1,2023-02-28,13:59,6.49,6.49,L,Clásica,"tomate, jamon",Carbonara
160,1080,carbonara_s,3,2023-02-22,22:40,9.66,28.98,S,Vegetariana,"aceituna, champiñon, pepperoni, pimiento, jamon",Carbonara
161,1080,napolitana_s,3,2023-02-09,18:19,10.22,30.66,S,Clásica,"aceituna, tomate",Napolitana
162,1081,mexicana_s,4,2023-02-03,10:09,14.19,56.76,S,Especial,"champiñon, jamon",Mexicana
163,1081,margarita_xl,1,2023-02-15,14:12,9.69,9.69,XL,Clásica,"pimiento, aceituna, pepperoni, tomate, queso",Margarita
164,1082,cuatro_quesos_m,5,2023-02-23,12:06,5.91,29.55,M,Vegetariana,"champiñon, aceituna, pimiento, queso, pepperoni",Cuatro_quesos
165,1082,cuatro_quesos_m,5,2023-01-07,12:26,5.57,27.85,M,Clásica,"tomate, pepperoni, champiñon, queso",Cuatro_quesos
166,1083,mexicana_s,4,2023-02-10,18:23,8.94,35.76,S,Premium,"aceituna, champiñon, pimiento, queso, tomate",Mexicana
167,1083,carbonara_l,1,2023-01-09,17:39,11.33,11.33,L,Clásica,"pimiento, pepperoni",Carbonara
168,1084,carbonara_m,2,2023-03-01,12:58,5.52,11.04,M,Especial,"champiñon, queso, aceituna, jamon, pimiento",Carbonara
169,1084,mexicana_xl,3,2023-01-17,19:10,14.69,44.07,XL,Premium,"champiñon, jamon, tomate, pepperoni, pimiento",Mexicana
170,1085,carbonara_l,1,2023-01-14,15:27,8.22,8.22,L,Especial,"champiñon, aceituna, tomate, queso, pimiento",Carbonara
171,1085,cuatro_quesos_s,5,2023-01-02,15:11,5.07,25.35,S,Clásica,"tomate, pepperoni",Cuatro_quesos
172,1086,hawaiiana_l,1,2023-02-27,21:32,8.74,8.74,L,Vegetariana,"pimiento, queso, aceituna",Hawaiiana
173,1086,mexicana_s,4,2023-02-17,11:59,9.05,36.2,S,Vegetariana,"pimiento, champiñon, tomate, queso",Mexicana
174,1087,mexicana_m,3,2023-01-04,14:53,6.17,18.51,M,Vegetariana,"pimiento, champiñon, queso",Mexicana
175,1087,mexicana_m,4,2023-02-10,22:56,8.45,33.8,M,Clásica,"pimiento, queso, jamon, aceituna, tomate",Mexicana
176,1088,cuatro_quesos_s,2,2023-01-05,15:22,5.16,10.32,S,Clásica,"queso, champiñon, pepperoni, jamon, tomate",Cuatro_quesos
177,1088,mexicana_xl,4,2023-01-28,15:49,8.93,35.72,XL,Especial,"champiñon, jamon, aceituna",Mexicana
178,1089,carbonara_l,3,2023-01-28,10:51,6.52,19.56,L,Vegetariana,"pimiento, jamon, tomate, pepperoni, queso",Carbonara
179,1089,mexicana_l,5,2023-01-16,13:23,9.51,47.55,L,Vegetariana,"pepperoni, tomate, pimiento, champiñon, queso",Mexicana
180,1090,hawaiiana_m,2,2023-02-01,16:04,11.08,22.16,M,Premium,"aceituna, tomate",Hawaiiana
181,1090,cuatro_quesos_m,2,2023-01-17,22:11,8.45,16.9,M,Clásica,"aceituna, queso",Cuatro_quesos
182,1091,cuatro_quesos_xl,4,2023-02-26,17:17,10.61,42.44,XL,Vegetariana,"champiñon, queso, tomate, pepperoni",Cuatro_quesos
183,1091,cuatro_quesos_s,1,2023-01-12,13:20,10.96,10.96,S,Clásica,"pepperoni, jamon, queso, tomate",Cuatro_quesos
184,1092,hawaiiana_s,1,2023-02-02,12:54,8.23,8.23,S,Premium,"jamon, champiñon, pimiento",Hawaiiana
185,1092,mexicana_xl,5,2023-02-18,19:05,14.91,74.55,XL,Clásica,"jamon, pepperoni, queso, aceituna, pimiento",Mexicana
186,1093,cuatro_quesos_m,2,2023-02-14,21:02,7.99,15.98,M,Premium,"aceituna, pimiento, champiñon, queso, pepperoni",Cuatro_quesos
187,1093,napolitana_m,1,2023-02-08,10:46,11.26,11.26,M,Clásica,"jamon, tomate",Napolitana
188,1094,mexicana_m,3,2023-02-05,20:01,7.49,22.47,M,Premium,"pimiento, pepperoni, aceituna, tomate",Mexicana
189,1094,margarita_xl,4,2023-02-26,14:30,6.52,26.08,XL,Premium,"aceituna, tomate, pepperoni, queso",Margarita
190,1095,cuatro_quesos_s,5,2023-01-18,17:52,5.54,27.7,S,Especial,"aceituna, jamon",Cuatro_quesos
191,1095,cuatro_quesos_xl,1,2023-01-12,16:45,6.55,6.55,XL,Especial,"tomate, jamon, champiñon, queso, pepperoni",Cuatro_quesos
192,1096,cuatro_quesos_m,2,2023-01-07,18:11,8.4,16.8,M,Clásica,"pimiento, tomate, queso, pepperoni, aceituna",Cuatro_quesos
193,1096,mexicana_m,4,2023-02-02,22:20,7.68,30.72,M,Vegetariana,"aceituna, tomate, pimiento, queso, champiñon",Mexicana
194,1097,hawaiiana_s,1,2023-02-18,19:17,8.73,8.73,S,Premium,"aceituna, pepperoni, pimiento",Hawaiiana
195,1097,carbonara_l,5,2023-01-10,12:51,10.79,53.95,L,Especial,"pepperoni, aceituna, champiñon, jamon, queso",Carbonara
196,1098,carbonara_l,5,2023-01-09,22:42,7.65,38.25,L,Especial,"pepperoni, pimiento, tomate, queso",Carbonara
197,1098,hawaiiana_l,3,2023-01-06,10:19,12.06,36.18,L,Premium,"aceituna, pimiento, pepperoni, queso, champiñon",Hawaiiana
198,1099,napolitana_m,5,2023-02-28,18:22,6.4,32.0,M,Premium,"pepperoni, champiñon",Napolitana
199,1099,margarita_s,1,2023-01-08,19:12,7.36,7.36,S,Vegetariana,"champiñon, jamon, tomate, pimiento, pepperoni",Margarita
200,1100,hawaiiana_l,3,2023-02-13,13:04,11.59,34.77,L,Especial,"queso, pimiento, champiñon, aceituna",Hawaiiana
201,1100,mexicana_xl,2,2023-01-04,21:30,9.92,19.84,XL,Premium,"champiñon, queso",Mexicana
202,1101,carbonara_xl,5,2023-03-02,20:48,8.83,44.15,XL,Vegetariana,"tomate, pepperoni, champiñon",Carbonara
203,1101,margarita_l,4,2023-01-15,13:50,5.89,23.56,L,Vegetariana,"pepperoni, tomate, queso, aceituna, pimiento",Margarita
204,1102,hawaiiana_m,1,2023-02-09,17:23,9.05,9.05,M,Clásica,"aceituna, champiñon, pimiento, pepperoni",Hawaiiana
205,1102,napolitana_s,4,2023-02-09,21:31,10.86,43.44,S,Premium,"aceituna, jamon, pimiento",Napolitana
206,1103,napolitana_xl,1,2023-02-19,15:42,5.23,5.23,XL,Vegetariana,"aceituna, champiñon, jamon, tomate",Napolitana
207,1103,hawaiiana_s,1,2023-01-21,11:39,5.25,5.25,S,Clásica,"jamon, aceituna",Hawaiiana
208,1104,napolitana_s,4,2023-01-17,19:32,11.87,47.48,S,Especial,"tomate, pepperoni, aceituna",Napolitana
209,1104,napolitana_xl,1,2023-02-04,21:13,5.07,5.07,XL,Premium,"tomate, pepperoni",Napolitana
210,1105,napolitana_l,4,2023-02-17,10:36,14.34,57.36,L,Clásica,"pepperoni, champiñon, tomate, pimiento",Napolitana
211,1105,carbonara_l,3,2023-01-07,17:49,13.83,41.49,L,Clásica,"jamon, tomate, queso, champiñon, pimiento",Carbonara
